nSticks,agentBias,stick,belief
4,100,0.9,0.6739443294842
4,100,1,0.8085551327380982
5,0,0,0.24472372105730306
5,0,0.1,0.29526671675431654
5,0,0.2,0.3499760945290564
5,0,0.3,0.40775903285293774
5,0,0.4,0.46813742230721345
5,0,0.5,0.5285158117614819
5,0,0.6,0.5867768595041237
5,0,0.7,0.6446280991735427
5,0,0.8,0.7023427361518925
5,0,0.9,0.7528174305033691
5,0,1,0.7990574414315776
5,1,0,0.19989423792917033
5,1,0.1,0.24583636666105027
5,1,0.2,0.2968663392367408
5,1,0.3,0.3521266851458441
5,1,0.4,0.4112587282012583
5,1,0.5,0.4717630867264038
5,1,0.6,0.5314117933448599
5,1,0.7,0.5918327594098908
5,1,0.8,0.6533209915342482
5,1,0.9,0.7081934776068481
5,1,1,0.759413174670208
5,3,0,0.1291821371444305
5,3,0.1,0.1641829031510181
5,3,0.2,0.20606176376815621
5,3,0.3,0.25524103754560573
5,3,0.4,0.3124981976512481
5,3,0.5,0.37557278277289996
5,3,0.6,0.44172738689441604
5,3,0.7,0.5120559937659799
5,3,0.8,0.586053536765436
5,3,0.9,0.653018759982263
5,3,1,0.7157188209499905
5,10,0,0.005748671657587718
5,10,0.1,0.008667656924775951
5,10,0.2,0.015182860998785058
5,10,0.3,0.029607447675435574
5,10,0.4,0.06050533923242058
5,10,0.5,0.11957914966540258
5,10,0.6,0.21578210041017795
5,10,0.7,0.35006271399030764
5,10,0.8,0.5020176370293853
5,10,0.9,0.6262642391844512
5,10,1,0.7235127222008726
5,30,0,4.252358716535021e-11
5,30,0.1,7.849642136429972e-10
5,30,0.2,3.6458192722830074e-8
5,30,0.3,0.0000018930566583514177
5,30,0.4,0.00008732900999287808
5,30,0.5,0.00292574794209283
5,30,0.6,0.041830526861977
5,30,0.7,0.1845600795551974
5,30,0.8,0.4184606652681385
5,30,0.9,0.6202942303192615
5,30,1,0.7542507955626697
5,100,0,7.327280011461737e-41
5,100,0.1,6.09819734144178e-32
5,100,0.2,1.3566481500180143e-24
5,100,0.3,5.918691362383523e-18
5,100,0.4,6.364864614766953e-12
5,100,0.5,0.00021622546259077746
5,100,0.6,0.027441520092914673
5,100,0.7,0.1591008527164255
5,100,0.8,0.38916223236256897
5,100,0.9,0.6069117694402368
5,100,1,0.7646210545866207
