,numExp,stick1,stick2,judge,agentBias,nSticks,p_isLong_1,p_isLong_2,delta
254,127,0.7,0.2,J0,2.0,4.0,0.6375781081663435,0.45008319467554075,-0.18749491349080277
255,127,0.7,0.2,J1,2.0,4.0,0.5545674474727893,0.4855214637239753,-0.06904598374881399
256,128,0.7,0.2,J0,2.0,5.0,0.6204648572504959,0.47348258706467655,-0.14698227018581939
257,128,0.7,0.2,J1,2.0,5.0,0.5618718571190893,0.5056854740071649,-0.056186383111924365
258,129,0.7,0.2,J0,5.0,3.0,0.6767371601208458,0.41666666666666663,-0.2600704934541792
259,129,0.7,0.2,J1,5.0,3.0,0.49213996506666524,0.33921784208733713,-0.1529221229793281
260,130,0.7,0.2,J0,5.0,4.0,0.6375781081663435,0.45008319467554075,-0.18749491349080277
261,130,0.7,0.2,J1,5.0,4.0,0.4567777384587716,0.4254374136669412,-0.03134032479183041
262,131,0.7,0.2,J0,5.0,5.0,0.6204648572504959,0.47348258706467655,-0.14698227018581939
263,131,0.7,0.2,J1,5.0,5.0,0.47167558812977783,0.48066006447257803,0.008984476342800196
264,132,0.7,0.2,J0,10.0,3.0,0.6767371601208458,0.41666666666666663,-0.2600704934541792
265,132,0.7,0.2,J1,10.0,3.0,0.4325795095046946,0.27477922059068366,-0.15780028891401093
266,133,0.7,0.2,J0,10.0,4.0,0.6375781081663435,0.45008319467554075,-0.18749491349080277
267,133,0.7,0.2,J1,10.0,4.0,0.3569071531959978,0.33761159490169085,-0.019295558294306958
268,134,0.7,0.2,J0,10.0,5.0,0.6204648572504959,0.47348258706467655,-0.14698227018581939
269,134,0.7,0.2,J1,10.0,5.0,0.36450589710152587,0.41808213043454134,0.05357623333301548
270,135,0.7,0.3,J0,2.0,3.0,0.6767371601208458,0.55,-0.1267371601208458
271,135,0.7,0.3,J1,2.0,3.0,0.5726648849055715,0.6342443679026899,0.06157948299711835
272,136,0.7,0.3,J0,2.0,4.0,0.6375781081663435,0.5415973377703824,-0.09598077039596109
273,136,0.7,0.3,J1,2.0,4.0,0.5545674474727893,0.6081503043928423,0.053582856920053046
274,137,0.7,0.3,J0,2.0,5.0,0.6204648572504959,0.5283084577114427,-0.09215639953905319
275,137,0.7,0.3,J1,2.0,5.0,0.5618718571190893,0.5809962249515532,0.019124367832463962
276,138,0.7,0.3,J0,5.0,3.0,0.6767371601208458,0.55,-0.1267371601208458
277,138,0.7,0.3,J1,5.0,3.0,0.49213996506666524,0.6483358919195867,0.1561959268529215
278,139,0.7,0.3,J0,5.0,4.0,0.6375781081663435,0.5415973377703824,-0.09598077039596109
279,139,0.7,0.3,J1,5.0,4.0,0.4567777384587716,0.6257564734107562,0.16897873495198462
280,140,0.7,0.3,J0,5.0,5.0,0.6204648572504959,0.5283084577114427,-0.09215639953905319
281,140,0.7,0.3,J1,5.0,5.0,0.47167558812977783,0.5990956076694188,0.127420019539641
282,141,0.7,0.3,J0,10.0,3.0,0.6767371601208458,0.55,-0.1267371601208458
283,141,0.7,0.3,J1,10.0,3.0,0.4325795095046946,0.6583438323474077,0.22576432284271308
284,142,0.7,0.3,J0,10.0,4.0,0.6375781081663435,0.5415973377703824,-0.09598077039596109
285,142,0.7,0.3,J1,10.0,4.0,0.3569071531959978,0.6286935538509777,0.2717864006549799
286,143,0.7,0.3,J0,10.0,5.0,0.6204648572504959,0.5283084577114427,-0.09215639953905319
287,143,0.7,0.3,J1,10.0,5.0,0.36450589710152587,0.615322989851406,0.2508170927498801
288,144,0.7,0.4,J0,2.0,3.0,0.6767371601208458,0.6000000000000001,-0.07673716012084575
289,144,0.7,0.4,J1,2.0,3.0,0.5726648849055715,0.751308170381734,0.17864328547616248
290,145,0.7,0.4,J0,2.0,4.0,0.6375781081663435,0.6098169717138101,-0.02776113645253342
291,145,0.7,0.4,J1,2.0,4.0,0.5545674474727893,0.70668325869942,0.15211581122663065
292,146,0.7,0.4,J0,2.0,5.0,0.6204648572504959,0.578855721393035,-0.041609135857460955
293,146,0.7,0.4,J1,2.0,5.0,0.5618718571190893,0.653647456926961,0.09177559980787175
294,147,0.7,0.4,J0,5.0,3.0,0.6767371601208458,0.6000000000000001,-0.07673716012084575
295,147,0.7,0.4,J1,5.0,3.0,0.49213996506666524,0.8407736261014783,0.3486336610348131
296,148,0.7,0.4,J0,5.0,4.0,0.6375781081663435,0.6098169717138101,-0.02776113645253342
297,148,0.7,0.4,J1,5.0,4.0,0.4567777384587716,0.7920941384854194,0.3353164000266478
298,149,0.7,0.4,J0,5.0,5.0,0.6204648572504959,0.578855721393035,-0.041609135857460955
299,149,0.7,0.4,J1,5.0,5.0,0.47167558812977783,0.7109694662045445,0.23929387807476665
300,150,0.7,0.4,J0,10.0,3.0,0.6767371601208458,0.6000000000000001,-0.07673716012084575
301,150,0.7,0.4,J1,10.0,3.0,0.4325795095046946,0.9197625960416729,0.4871830865369783
302,151,0.7,0.4,J0,10.0,4.0,0.6375781081663435,0.6098169717138101,-0.02776113645253342
303,151,0.7,0.4,J1,10.0,4.0,0.3569071531959978,0.8861687530530025,0.5292615998570047
304,152,0.7,0.4,J0,10.0,5.0,0.6204648572504959,0.578855721393035,-0.041609135857460955
305,152,0.7,0.4,J1,10.0,5.0,0.36450589710152587,0.8002371542343115,0.43573125713278565
306,153,0.7,0.5,J0,2.0,3.0,0.6767371601208458,0.7000000000000002,0.02326283987915434
307,153,0.7,0.5,J1,2.0,3.0,0.5726648849055715,0.8760226174515456,0.3033577325459741
308,154,0.7,0.5,J0,2.0,4.0,0.6375781081663435,0.6705490848585689,0.03297097669222537
309,154,0.7,0.5,J1,2.0,4.0,0.5545674474727893,0.7885938712304814,0.23402642375769211
310,155,0.7,0.5,J0,2.0,5.0,0.6204648572504959,0.6368656716417914,0.016400814391295482
311,155,0.7,0.5,J1,2.0,5.0,0.5618718571190893,0.7297347945902668,0.16786293747117753
312,156,0.7,0.5,J0,5.0,3.0,0.6767371601208458,0.7000000000000002,0.02326283987915434
313,156,0.7,0.5,J1,5.0,3.0,0.49213996506666524,0.9766691359926941,0.4845291709260289
314,157,0.7,0.5,J0,5.0,4.0,0.6375781081663435,0.6705490848585689,0.03297097669222537
315,157,0.7,0.5,J1,5.0,4.0,0.4567777384587716,0.9031279630795662,0.4463502246207946
316,158,0.7,0.5,J0,5.0,5.0,0.6204648572504959,0.6368656716417914,0.016400814391295482
317,158,0.7,0.5,J1,5.0,5.0,0.47167558812977783,0.8172501625951281,0.3455745744653502
318,159,0.7,0.5,J0,10.0,3.0,0.6767371601208458,0.7000000000000002,0.02326283987915434
319,159,0.7,0.5,J1,10.0,3.0,0.4325795095046946,0.9991517693867434,0.5665722598820488
320,160,0.7,0.5,J0,10.0,4.0,0.6375781081663435,0.6705490848585689,0.03297097669222537
321,160,0.7,0.5,J1,10.0,4.0,0.3569071531959978,0.981108480146395,0.6242013269503972
322,161,0.7,0.5,J0,10.0,5.0,0.6204648572504959,0.6368656716417914,0.016400814391295482
323,161,0.7,0.5,J1,10.0,5.0,0.36450589710152587,0.9305505340768094,0.5660446369752836
324,162,0.8,0.0,J0,2.0,3.0,0.7462235649546827,0.35000000000000003,-0.39622356495468264
325,162,0.8,0.0,J1,2.0,3.0,0.6675807614893962,0.33299301006527793,-0.33458775142411823
326,163,0.8,0.0,J0,2.0,4.0,0.7013574660633481,0.38269550748752074,-0.3186619585758274
327,163,0.8,0.0,J1,2.0,4.0,0.6389704908378837,0.38668422521552737,-0.25228626562235634
328,164,0.8,0.0,J0,2.0,5.0,0.6702265319159395,0.41069651741293506,-0.25953001450300445
329,164,0.8,0.0,J1,2.0,5.0,0.6266505978326146,0.423926674057844,-0.20272392377477055
330,165,0.8,0.0,J0,5.0,3.0,0.7462235649546827,0.35000000000000003,-0.39622356495468264
