,numExp,biasPrior,stick,biasVal,biasProb
48,12,flat,0.325,0,0.1687309946606489
49,12,flat,0.325,2,0.11324622461780061
50,12,flat,0.325,5,0.0458871068418695
51,12,flat,0.325,10,0.012183891086085717
52,13,v,0.325,0,0.04542434791386227
53,13,v,0.325,2,0.06097440387068492
54,13,v,0.325,5,0.04941337328420967
55,13,v,0.325,10,0.02624036247766111
56,14,flat,0.375,0,0.1801514541566071
57,14,flat,0.375,2,0.13576817322716395
58,14,flat,0.375,5,0.0662509994462747
59,14,flat,0.375,10,0.022755082282120916
60,15,v,0.375,0,0.051166811856595676
61,15,v,0.375,2,0.07712204831373821
62,15,v,0.375,5,0.07526672354322822
63,15,v,0.375,10,0.05170338565897959
64,16,flat,0.425,0,0.18890468968668106
65,16,flat,0.425,2,0.15827612443159678
66,16,flat,0.425,5,0.09124943243392912
67,16,flat,0.425,10,0.038969000191492964
68,17,v,0.425,0,0.05601551095289967
69,17,v,0.425,2,0.09386657362912221
70,17,v,0.425,5,0.1082320103418598
71,17,v,0.425,10,0.09244316636799875
72,18,flat,0.475,0,0.19382289048942425
73,18,flat,0.475,2,0.17929470740474246
74,18,flat,0.475,5,0.12032254928057787
75,18,flat,0.475,10,0.06209924361482511
76,19,v,0.475,0,0.058931799091996515
77,19,v,0.475,2,0.10902901765992562
78,19,v,0.475,5,0.14633615838737687
79,19,v,0.475,10,0.15105007006067867
80,20,flat,0.525,0,0.1938228904894242
81,20,flat,0.525,2,0.19751808330122228
82,20,flat,0.525,5,0.15303431273638196
83,20,flat,0.525,10,0.09390821317282594
84,21,v,0.525,0,0.05893179909199636
85,21,v,0.525,2,0.12011064299734014
86,21,v,0.525,5,0.18612017083409116
87,21,v,0.525,10,0.22842214096859145
88,22,flat,0.575,0,0.18890468968668053
89,22,flat,0.575,2,0.20957979067116234
90,22,flat,0.575,5,0.18329250086953885
91,22,flat,0.575,10,0.12972846171559718
92,23,v,0.575,0,0.056015510952899604
93,23,v,0.575,2,0.12429251046460099
94,23,v,0.575,5,0.21740536155182588
95,23,v,0.575,10,0.3077448666916927
96,24,flat,0.625,0,0.18015145415660688
97,24,flat,0.625,2,0.21617309782332456
98,24,flat,0.625,5,0.2103557155113317
99,24,flat,0.625,10,0.16854547755317706
100,25,v,0.625,0,0.051166811856595634
101,25,v,0.625,2,0.12279543650164748
102,25,v,0.625,5,0.2389818360094139
103,25,v,0.625,10,0.3829637581163978
104,26,flat,0.675,0,0.16873099466064834
105,26,flat,0.675,2,0.21799413380154425
106,26,flat,0.675,5,0.23333570779004598
107,26,flat,0.675,10,0.2086219412020053
108,27,v,0.675,0,0.045424347913862045
109,27,v,0.675,2,0.11737311685855671
110,27,v,0.675,5,0.2512667549361467
111,27,v,0.675,10,0.44930764065887807
112,28,flat,0.725,0,0.15589145032709517
113,28,flat,0.725,2,0.2160726323882758
114,28,flat,0.725,5,0.25182811139039984
115,28,flat,0.725,10,0.24803796340843548
116,29,v,0.725,0,0.0396477596588375
117,29,v,0.725,2,0.10990719221365491
118,29,v,0.725,5,0.256189044743532
119,29,v,0.725,10,0.5046665247568601
120,30,flat,0.775,0,0.1430742999336051
121,30,flat,0.775,2,0.21177265114458163
122,30,flat,0.775,5,0.26576038260688806
123,30,flat,0.775,10,0.28423452871050303
124,31,v,0.775,0,0.03449369081868141
125,31,v,0.775,2,0.10211226412882773
126,31,v,0.775,5,0.2562879978794394
127,31,v,0.775,10,0.5482073556401692
128,32,flat,0.825,0,0.1309152769636278
129,32,flat,0.825,2,0.2062900535845822
130,32,flat,0.825,5,0.27619662472174933
131,32,flat,0.825,10,0.3166131837318258
132,33,v,0.825,0,0.030091740698279787
133,33,v,0.825,2,0.09483426144110264
134,33,v,0.825,5,0.2539424704475436
135,33,v,0.825,10,0.5822050442080624
136,34,flat,0.875,0,0.12023127300535147
137,34,flat,0.875,2,0.20078039118452512
138,34,flat,0.875,5,0.28388401024514187
139,34,flat,0.875,10,0.34363280265811114
140,35,v,0.875,0,0.026569574982539222
141,35,v,0.875,2,0.08873980163818738
142,35,v,0.875,5,0.250938954833042
143,35,v,0.875,10,0.6075076667468026
144,36,flat,0.925,0,0.11084368597008935
145,36,flat,0.925,2,0.1957444051272349
146,36,flat,0.925,5,0.29006489784389267
147,36,flat,0.925,10,0.36598140759307024
148,37,v,0.925,0,0.023718203706525574
149,37,v,0.925,2,0.08377032276738369
150,37,v,0.925,5,0.24827100524356416
151,37,v,0.925,10,0.6264982260106943
152,38,flat,0.975,0,0.10322200458767469
153,38,flat,0.975,2,0.19182693543333096
154,38,flat,0.975,5,0.2951799924990397
155,38,flat,0.975,10,0.38263860995727256
156,39,v,0.975,0,0.02156235544713919
157,39,v,0.975,2,0.08014261266619135
158,39,v,0.975,5,0.24664415090842745
159,39,v,0.975,10,0.6394442540545808
