numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
31,3,0.675,0.425,0.6432748538011697,0.5555555555555552,0.3392993820375972,0.8167523307474829,True,0.5651722469555001
32,3,0.675,0.375,0.6432748538011697,0.5555555555555552,0.3392993820375972,0.8171335883488524,True,0.5655535045568696
33,3,0.675,0.325,0.6432748538011697,0.49999999999999994,0.3392993820375972,0.5334607137639928,True,0.3374361855275654
34,3,0.675,0.275,0.6432748538011697,0.44444444444444425,0.3392993820375972,0.3307659659340164,False,0.0
35,3,0.675,0.225,0.6432748538011697,0.388888888888889,0.3392993820375972,0.1956052140523879,False,0.0
36,3,0.675,0.175,0.6432748538011697,0.33333333333333354,0.3392993820375972,0.1077268208337858,False,0.0
37,3,0.675,0.125,0.6432748538011697,0.33333333333333354,0.3392993820375972,0.10772368124208563,False,0.0
38,3,0.675,0.075,0.6432748538011697,0.27777777777777785,0.3392993820375972,0.06332816099204673,False,0.0
39,3,0.675,0.025,0.6432748538011697,0.2222222222222223,0.3392993820375972,0.036294930069816635,False,0.0
40,3,0.725,0.475,0.6783625730994152,0.6666666666666665,0.4501032499804796,0.9939693900167242,True,0.5555620464689932
41,3,0.725,0.425,0.6783625730994152,0.6111111111111113,0.4501032499804796,0.9431648088912268,True,0.560313020899051
42,3,0.725,0.375,0.6783625730994152,0.6111111111111113,0.4501032499804796,0.9430356086445012,True,0.5601838206523255
43,3,0.725,0.325,0.6783625730994152,0.5555555555555552,0.4501032499804796,0.7209538682919038,True,0.39365763585528407
44,3,0.725,0.275,0.6783625730994152,0.49999999999999994,0.4501032499804796,0.5093081153401653,True,0.2375674384591009
45,3,0.725,0.225,0.6783625730994152,0.44444444444444425,0.4501032499804796,0.35163833712504033,False,0.0
46,3,0.725,0.175,0.6783625730994152,0.388888888888889,0.4501032499804796,0.2337666780815105,False,0.0
47,3,0.725,0.125,0.6783625730994152,0.33333333333333354,0.4501032499804796,0.14740610088497366,False,0.0
48,3,0.725,0.075,0.6783625730994152,0.27777777777777785,0.4501032499804796,0.08521207549463769,False,0.0
49,3,0.725,0.025,0.6783625730994152,0.27777777777777785,0.4501032499804796,0.08521201959926053,False,0.0
50,3,0.775,0.475,0.7134502923976607,0.7222222222222221,0.5527073243315577,0.999152842260771,False,0.0
51,3,0.775,0.425,0.7134502923976607,0.6666666666666665,0.5527073243315577,0.9872680344482828,True,0.4813443358477193
52,3,0.775,0.375,0.7134502923976607,0.6111111111111113,0.5527073243315577,0.8913371881926242,True,0.4409690451476159
53,3,0.775,0.325,0.7134502923976607,0.6111111111111113,0.5527073243315577,0.891395106198448,True,0.4410269631534397
54,3,0.775,0.275,0.7134502923976607,0.5555555555555552,0.5527073243315577,0.6725516368667018,True,0.2777390493772496
55,3,0.775,0.225,0.7134502923976607,0.49999999999999994,0.5527073243315577,0.4997678030158992,False,0.0
56,3,0.775,0.175,0.7134502923976607,0.44444444444444425,0.5527073243315577,0.3675115680160567,False,0.0
57,3,0.775,0.125,0.7134502923976607,0.388888888888889,0.5527073243315577,0.26335105158411937,False,0.0
58,3,0.775,0.075,0.7134502923976607,0.33333333333333354,0.5527073243315577,0.18180190198281074,False,0.0
59,3,0.775,0.025,0.7134502923976607,0.27777777777777785,0.5527073243315577,0.11824587890396965,False,0.0
60,3,0.825,0.475,0.7543859649122806,0.7777777777777775,0.6541250733180602,0.9999231805215509,False,0.0
61,3,0.825,0.425,0.7543859649122806,0.7222222222222221,0.6541250733180602,0.9981371474468579,True,0.37617581681885615
62,3,0.825,0.375,0.7543859649122806,0.6666666666666665,0.6541250733180602,0.9699495882604388,True,0.4035438131879926
63,3,0.825,0.325,0.7543859649122806,0.6666666666666665,0.6541250733180602,0.9699438806246942,True,0.403538105552248
64,3,0.825,0.275,0.7543859649122806,0.6111111111111113,0.6541250733180602,0.799841583475855,True,0.2889913639589641
