numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
107,10.0,v,0.585,0.975,0.925,0.975,0.925,0.46,0.54,True,True
108,2.0,flat,0.485,0.925,0.675,0.925,0.675,0.15999999999999998,0.14,True,True
109,2.0,v,0.725,0.725,0.975,0.775,0.975,0.05,0.10000000000000002,False,False
110,5.0,flat,0.45499999999999996,0.875,0.675,0.875,0.675,0.38,0.29999999999999993,True,True
111,5.0,v,0.5549999999999999,0.925,0.975,0.925,0.975,0.21,0.33,False,False
112,10.0,flat,0.38499999999999995,0.725,0.575,0.375,0.575,0.67,0.09000000000000002,True,False
113,10.0,v,0.585,0.925,0.825,0.925,0.825,0.4199999999999999,0.72,True,True
114,2.0,flat,0.575,0.975,0.875,0.875,0.975,0.14,0.14,True,False
115,2.0,v,0.45500000000000007,0.625,0.525,0.425,0.575,0.07,0.029999999999999995,False,False
116,5.0,flat,0.44499999999999995,0.875,0.575,0.875,0.575,0.39,0.26,True,True
117,5.0,v,0.5650000000000001,0.825,0.775,0.325,0.725,0.28,0.19,True,False
118,10.0,flat,0.535,0.975,0.775,0.975,0.775,0.53,0.82,True,True
119,10.0,v,0.585,0.925,0.625,0.925,0.625,0.43,0.7,True,True
120,2.0,flat,0.14500000000000002,0.325,0.175,0.325,0.175,0.13,0.17,True,True
121,2.0,v,0.725,0.725,0.825,0.775,0.825,0.05,0.09000000000000002,False,False
122,5.0,flat,0.5349999999999999,0.825,0.675,0.825,0.675,0.22,0.27,True,True
123,5.0,v,0.5349999999999999,0.925,0.875,0.925,0.875,0.29,0.46,True,True
124,10.0,flat,0.49499999999999994,0.925,0.825,0.925,0.825,0.69,0.69,True,True
125,10.0,v,0.575,0.975,0.875,0.975,0.875,0.52,0.61,True,True
126,2.0,flat,0.515,0.725,0.575,0.625,0.725,0.09000000000000002,0.10000000000000002,False,False
