param,val,prob
J1agentBias,6.4158325594634125,0.0001
J1agentBias,6.417070256306536,0.0001
J1agentBias,6.418981724536874,0.0001
J1agentBias,6.419781592093711,0.0001
J1agentBias,6.423051893545338,0.0001
J1agentBias,6.4472244124612,0.0001
J1agentBias,6.447870613755555,0.0002
J1agentBias,6.450185599386813,0.0001
J1agentBias,6.468471571755558,0.0001
J1agentBias,6.477994983823253,0.0001
J1agentBias,6.485320478266366,0.0001
J1agentBias,6.487807235479067,0.0001
J1agentBias,6.48785294687036,0.0001
J1agentBias,6.4896262464719054,0.0002
J1agentBias,6.48968176718614,0.0001
J1agentBias,6.49115424004647,0.0001
J1agentBias,6.492137211958012,0.00030000000000000003
J1agentBias,6.492656124070537,0.0002
J1agentBias,6.493738972672836,0.0001
J1agentBias,6.495639073181426,0.0001
J1agentBias,6.502168936143827,0.0001
J1agentBias,6.50595231844114,0.0001
J1agentBias,6.507081033842122,0.0001
J1agentBias,6.5085930629374396,0.0001
J1agentBias,6.523508725957706,0.0001
J1agentBias,6.5309283876669015,0.00030000000000000003
J1agentBias,6.534547086587182,0.0002
J1agentBias,6.538625117217592,0.0001
J1agentBias,6.54543774699668,0.0001
J1agentBias,6.54896860854498,0.0002
J1agentBias,6.550371300155856,0.0002
J1agentBias,6.557967648406543,0.0001
J1agentBias,6.560527513039496,0.0002
J1agentBias,6.562046146345699,0.0001
J1agentBias,6.570016788899709,0.0001
J1agentBias,6.570447286085117,0.0001
J1agentBias,6.570953141814437,0.0001
J1agentBias,6.572084028429277,0.0002
J1agentBias,6.579189947904188,0.0001
J1agentBias,6.582011350731074,0.0001
J1agentBias,6.583910942299149,0.0001
J1agentBias,6.585051949723466,0.0001
J1agentBias,6.599418229482547,0.0001
J1agentBias,6.600584783684585,0.0001
J1agentBias,6.605248847711776,0.00030000000000000003
J1agentBias,6.606913686571596,0.0002
J1agentBias,6.61449714148132,0.0001
J1agentBias,6.616364108037514,0.0001
J1agentBias,6.6202135335145496,0.0001
J1agentBias,6.6206960201252425,0.0002
J1agentBias,6.621716604339815,0.0004
J1agentBias,6.6224723396545375,0.0001
J1agentBias,6.623772579704024,0.0001
J1agentBias,6.627772935056145,0.0001
J1agentBias,6.629759177023746,0.0001
J1agentBias,6.630361400338038,0.0001
J1agentBias,6.634237682658879,0.0001
J1agentBias,6.649938842933149,0.0001
J1agentBias,6.654418377744956,0.0001
J1agentBias,6.66552951792731,0.00030000000000000003
J1agentBias,6.666879360110803,0.0001
J1agentBias,6.671149906626144,0.00030000000000000003
J1agentBias,6.671612744566096,0.0001
J1agentBias,6.681712456080055,0.0001
J1agentBias,6.684522555227149,0.0002
J1agentBias,6.687188267195698,0.0002
J1agentBias,6.688684702872886,0.0001
J1agentBias,6.690898563223415,0.0001
J1agentBias,6.6916185594171065,0.0001
J1agentBias,6.693761324392926,0.0001
J1agentBias,6.695726096740689,0.0001
J1agentBias,6.696518812612731,0.00030000000000000003
J1agentBias,6.698532418139573,0.0001
J1agentBias,6.700683511144896,0.0001
J1agentBias,6.701315137475911,0.0001
J1agentBias,6.7032578119157264,0.0002
J1agentBias,6.704449035031522,0.0001
J1agentBias,6.706230971009906,0.0001
J1agentBias,6.710359755313543,0.0001
J1agentBias,6.712238581843726,0.0001
J1agentBias,6.714580656012522,0.0001
J1agentBias,6.720095494491071,0.0001
